Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP 17 (17-by3051cl),Intel Core i5-1035G1,8GB RAM,Intel UHD Graphics G1,"17.3”, HD+ (1600 x 900), TN",256GB SSD,79990,https://laptopmedia.com/laptop-specs/hp-17-17-by3051cl/,https://www.amazon.com/exec/obidos/ASIN/B08PCN3MWX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 3250U,4GB RAM,AMD Radeon RX Vega 3,"15.6”, HD (1366 x 768), TN",256GB SSD,29900,https://laptopmedia.com/laptop-specs/hp-15-15-ef1041nr/,https://www.amazon.com/exec/obidos/ASIN/B08PNXLS3F?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Stream 14 (14-cb171wm),Intel Celeron N4000,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,18601,https://laptopmedia.com/laptop-specs/hp-stream-14-14-cb171wm-4/,https://www.amazon.com/exec/obidos/ASIN/B084SKWC89?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ProBook 450 G7,Intel Core i5-10210U,16GB RAM,Intel UHD Graphics,"15.6”, HD (1366 x 768), TN",256GB SSD 1000GB HDD,104900,https://laptopmedia.com/laptop-specs/hp-probook-450-g7-295/,https://www.amazon.com/exec/obidos/ASIN/B088H6KZMR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion x360 14 (14-dw),Intel Core i3-1005G1,8GB RAM,Intel UHD Graphics G1,"14.0”, HD (1366 x 768), TN",128GB SSD,47500,https://laptopmedia.com/laptop-specs/hp-pavilion-x360-14-14-dw-74/,https://www.amazon.com/exec/obidos/ASIN/B08CDTP2Q1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY 13 (13-aq),Intel Core i7-1065G7,8GB RAM,Intel Iris Plus Graphics G7,"13.3”, 4K UHD (3840 x 2160), IPS",512GB SSD,72769,https://laptopmedia.com/laptop-specs/hp-envy-13-13-aq-40/,https://www.amazon.com/exec/obidos/ASIN/B0871KMLKB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"14.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,114900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-416/,https://www.amazon.com/exec/obidos/ASIN/B0FPQWVX4X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,64GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",2000GB SSD,77999,https://laptopmedia.com/laptop-specs/hp-17-22226/,https://www.amazon.com/exec/obidos/ASIN/B0DKZDG6J1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,32GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,96999,https://laptopmedia.com/laptop-specs/hp-17-22177/,https://www.amazon.com/exec/obidos/ASIN/B0FRJL7K2Q?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,24GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,100900,https://laptopmedia.com/laptop-specs/hp-17-21995/,https://www.amazon.com/exec/obidos/ASIN/B0FLDR2MZL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,16GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,84900,https://laptopmedia.com/laptop-specs/hp-17-21992/,https://www.amazon.com/exec/obidos/ASIN/B0FKMP539C?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,61999,https://laptopmedia.com/laptop-specs/hp-17-21846/,https://www.amazon.com/exec/obidos/ASIN/B0FP6HFGK3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-14-10522/,https://www.amazon.com/exec/obidos/ASIN/B0FPXL52WY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-17-21807/,https://www.amazon.com/exec/obidos/ASIN/B0FT7GKB36?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 3250U,32GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,85999,https://laptopmedia.com/laptop-specs/hp-15-24509/,https://www.amazon.com/exec/obidos/ASIN/B0FPP1GSRZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,32GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,38949,https://laptopmedia.com/laptop-specs/hp-14-10436/,https://www.amazon.com/exec/obidos/ASIN/B0FM5P9ZN8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Celeron N4500,32GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-15-24501/,https://www.amazon.com/exec/obidos/ASIN/B0FPH8XW42?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4500,16GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",64GB SSD,38900,https://laptopmedia.com/laptop-specs/hp-14-10395/,https://www.amazon.com/exec/obidos/ASIN/B0F9PX54V2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1334U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,69699,https://laptopmedia.com/laptop-specs/hp-17-21679/,https://www.amazon.com/exec/obidos/ASIN/B0FNG3RGD4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31999,https://laptopmedia.com/laptop-specs/hp-14-10369/,https://www.amazon.com/exec/obidos/ASIN/B0FPFNZGGD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 15,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,85900,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6920/,https://www.amazon.com/exec/obidos/ASIN/B0DN8TCR5V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 7730U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,86999,https://laptopmedia.com/laptop-specs/hp-15-24367/,https://www.amazon.com/exec/obidos/ASIN/B0FJZQZSSJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,85999,https://laptopmedia.com/laptop-specs/hp-15-24316/,https://www.amazon.com/exec/obidos/ASIN/B0FMQMYNDQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,40900,https://laptopmedia.com/laptop-specs/hp-14-10208/,https://www.amazon.com/exec/obidos/ASIN/B0FLDMSGW5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,AMD Ryzen AI 7 350,24GB RAM,AMD Radeon 840M,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,91999,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-114/,https://www.amazon.com/exec/obidos/ASIN/B0FJ1DBZMS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1334U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,98900,https://laptopmedia.com/laptop-specs/hp-15-22154/,https://www.amazon.com/exec/obidos/ASIN/B0FK5BC5MM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,Intel Celeron N4500,16GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,37999,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-329/,https://www.amazon.com/exec/obidos/ASIN/B0FDH5L3QJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 3 5300U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",512GB SSD,45900,https://laptopmedia.com/laptop-specs/hp-15-21781/,https://www.amazon.com/exec/obidos/ASIN/B0FDYG8FSC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,Intel Celeron N4500,32GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-110/,https://www.amazon.com/exec/obidos/ASIN/B0FRN9YM8P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,24GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,98900,https://laptopmedia.com/laptop-specs/hp-victus-15-2256/,https://www.amazon.com/exec/obidos/ASIN/B0DFWC3WRX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 5 8640HS,16GB RAM,AMD Radeon 760M,"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,67999,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-164/,https://www.amazon.com/exec/obidos/ASIN/B0DBKYLVF3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",1000GB SSD,48999,https://laptopmedia.com/laptop-specs/hp-15-20045/,https://www.amazon.com/exec/obidos/ASIN/B0DTK6Z5FX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, HD (1366 x 768), TN",256GB SSD,32900,https://laptopmedia.com/laptop-specs/hp-15-14137/,https://www.amazon.com/exec/obidos/ASIN/B0BPPTMP99?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-15-25275/,https://www.amazon.com/exec/obidos/ASIN/B0FLYNVRMZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY 16,Intel Core i7-13700H,32GB RAM,Intel Arc A370M,"16.0"", WQXGA (2560 x 1600), 120 Hz, IPS",512GB SSD,114999,https://laptopmedia.com/laptop-specs/hp-envy-16-501/,https://www.amazon.com/exec/obidos/ASIN/B0FWG4NXZ3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,44999,https://laptopmedia.com/laptop-specs/hp-15-25111/,https://www.amazon.com/exec/obidos/ASIN/B0FV12DW6G?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 7730U,32GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,85900,https://laptopmedia.com/laptop-specs/hp-15-25048/,https://www.amazon.com/exec/obidos/ASIN/B0FJXR173H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,4GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,37900,https://laptopmedia.com/laptop-specs/hp-15-25023/,https://www.amazon.com/exec/obidos/ASIN/B0DRJVGDM9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,48GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,88900,https://laptopmedia.com/laptop-specs/hp-17-22194/,https://www.amazon.com/exec/obidos/ASIN/B0DPZVJ72R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core 7 150U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,113900,https://laptopmedia.com/laptop-specs/hp-15-24973/,https://www.amazon.com/exec/obidos/ASIN/B0FJDLCM8Q?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,50900,https://laptopmedia.com/laptop-specs/hp-15-24828/,https://www.amazon.com/exec/obidos/ASIN/B0FPCWBFF5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,42900,https://laptopmedia.com/laptop-specs/hp-15-24786/,https://www.amazon.com/exec/obidos/ASIN/B0DMZQHHC6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,Intel Core 5 120U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",4000GB SSD,94900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-405/,https://www.amazon.com/exec/obidos/ASIN/B0DP9DLSMY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,63900,https://laptopmedia.com/laptop-specs/hp-15-24602/,https://www.amazon.com/exec/obidos/ASIN/B0DN1G6TWJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,64GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",4000GB SSD,103900,https://laptopmedia.com/laptop-specs/hp-15-24601/,https://www.amazon.com/exec/obidos/ASIN/B0DN1D2B9R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,74900,https://laptopmedia.com/laptop-specs/hp-17-21740/,https://www.amazon.com/exec/obidos/ASIN/B0FPLRNNX1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,32GB RAM,Intel Graphics (4-Cores),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,103999,https://laptopmedia.com/laptop-specs/hp-17-21724/,https://www.amazon.com/exec/obidos/ASIN/B0FKQ54YGS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,95999,https://laptopmedia.com/laptop-specs/hp-15-24441/,https://www.amazon.com/exec/obidos/ASIN/B0FFBHD9M1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
