Nama_Produk,Harga,Merk_CPU,Seri_CPU,Model_CPU,RAM,GPU,Layar,Full_CPU_Text,Skor_CPU,Skor_GPU,Kelas_Laptop
"Laptop Acer Aspire Go 14 Intel Core 5 120U RAm 8 GB / 16 Gb SSD 1 TB Windows 11 + Office Home Stundent 14"" WUXGA IPS",8649000,INTEL,INTEL CORE 5,120U,16.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
"Laptop Advan 360 Stylus Pro AMD Ryzen 5 7430U RAM 8 GB SSD 512 GB Windows 11 14"" WUXGA touch Screen 2in1",6949000,AMD,RYZEN 5,360,8.0,INTEGRATED,14.0,RYZEN 5 360,11000,2500,PELAJAR/ADMIN
"Laptop Advan Workplus Air OLED AMD Ryzen 5 7535HS RAM 16 GB SSD 512 GB Windows 11 14"" WUXGA 1.1 Kg",8549000,AMD,RYZEN AI 5,UNKNOWN,16.0,INTEGRATED,14.0,RYZEN AI 5 UNKNOWN,5000,2500,BASIC/ENTRY
Laptop Acer Aspire 7 Pro A715 Intel COre i5 13420H GeForce RTX 3050 6GB RAM 8GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144Hz,10599000,INTEL,INTEL CORE 1,3420H,8.0,RTX 3050,15.6,INTEL CORE 1 3420H,5000,12000,BASIC/ENTRY
"Laptop Axioo Pongo 765 Intel Core I7 13620H GeForce RTX 5060 8 GB RAm 16 GB SSD 512 GB Windows 11 / DOS 16"" WUXGA 165 Hz 100 Srgb",18549000,INTEL,INTEL CORE 1,3620H,16.0,RTX 5060,16.0,INTEL CORE 1 3620H,5000,26000,GAMING/RENDERING BERAT
"Laptop Axioo Hype-R X8 OLED AMD Ryzen 7 6850 RAM 16 gb SSD 512 GB Windows 11 14"" Full HD IPS Under 1 kg",9999000,AMD,RYZEN 7,6850,16.0,INTEGRATED,14.0,RYZEN 7 6850,14000,2500,PELAJAR/ADMIN
Laptop MSI Katana 15HX Intel Core i7 14650HX GeForce RTX 5070 8GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 15.6 FHD 144HZ 2 Year,23999000,INTEL,INTEL CORE 1,4650HX,32.0,RTX 5070,15.6,INTEL CORE 1 4650HX,5000,32000,GAMING/RENDERING BERAT
ASUS ROG XBOX ALLY AMD RYZEN Z2 A 16GB 512GB W11 7.0FHD 120HZ WHITE,9949000,AMD,RYZEN ,UNKNOWN,16.0,INTEGRATED,0.0,RYZEN  UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Acer Aspire Lite 14 AL14 Intel Celeron N150 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" Full HD IPS",5019000,INTEL,CELERON/ENTRY,N150,8.0,INTEGRATED,14.0,CELERON/ENTRY N150,2500,2500,BASIC/ENTRY
"Laptop ASUS Vivobook 14 A1404VAP Intel Core 5 120U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD VIPS",8399000,INTEL,INTEL CORE 1,404VA,8.0,INTEGRATED,14.0,INTEL CORE 1 404VA,5000,2500,BASIC/ENTRY
