Nama_Produk,Harga
"Laptop Acer Aspire Go 14 Intel Core 5 120U RAm 8 GB / 16 Gb SSD 1 TB Windows 11 + Office Home Stundent 14"" WUXGA IPS",8649000
"Laptop Advan 360 Stylus Pro AMD Ryzen 5 7430U RAM 8 GB SSD 512 GB Windows 11 14"" WUXGA touch Screen 2in1",6949000
"Laptop Advan Workplus Air OLED AMD Ryzen 5 7535HS RAM 16 GB SSD 512 GB Windows 11 14"" WUXGA 1.1 Kg",8549000
Laptop Acer Aspire 7 Pro A715 Intel COre i5 13420H GeForce RTX 3050 6GB RAM 8GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144Hz,10599000
"All in One PC Desktop Axioo AIO Hype Flex 5+ MAX Intel COre i5 12600H RAM 8 / 16 GB SSD 256 / 512 GB DOS / Windows 11 27"" Full HD IPS",8299000
All In One PC Desktop Axioo AIO Hype Flex 3+ Intel Core I3 1220P RAM 8 GB SSD 256 GB DOS / Windows 11 23.8 Full HD IPS,6599000
Acer PC Desktop TCX Intel Core i5 14400 H610 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student + Monitor LED 21.5 Inch Full HD,10349000
Acer PC Desktop TCX Intel Core i3 14100 H610 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student + Monitor LED 21.5 Inch Full HD,8649000
PC Desktop All In One ASUS AIO V440VAK Intel Core I5 13420H RAm 16 GB SSD 1 TB Windows 11 + Office Home Student 23.8 Full HD,11199000
"ASUS All In One PC Desktop AIO P470VAT Touch Screen Intel Core i7 13620H RAM 16 GB SSD 512 GB WIndows 11 + Office Home Student 27"" Full HD",16749000
"ASUS All In One PC Desktop AIO P470VAK Intel Core i5 13420H RAM 8 GB SSD 512 GB WIndows 11 + Office Home Student 27"" Full HD",10449000
"ASUS All In One PC Desktop AIO P440VAT Touch Screen Intel Core i5 13420H RAM 16 GB SSD 512 GB WIndows 11 + Office Home Student 23.8"" Full HD",11849000
"ASUS All In One PC Desktop AIO P440VAK Intel COre i7 13620H RAM 8 / 16 GB SSD 512 GB WIndows 11 + Office Home Student 23.8"" Full HD",13399000
"ASUS All In One PC Desktop AIO P440VAK Intel COre i5 13420H RAM 8 GB / 16 GB SSD 512 GB WIndows 11 + Office Home Student 23.8"" Full HD",9749000
"ASUS All In One PC Desktop AIO P440VAK Intel COre i3 1315 RAM 8 GB SSD 512 GB WIndows 11 23.8"" Full HD White Seris",7599000
"PC Desktop All in One Advan AIO Force One A24A R56s1 AMD Ryzen 5 6600H RAM 8 GB SSD 512 GB WINDOWS 11 23.8"" FULL HD",6499000
"PC Desktip All In One Acer AIO ACX24 Intel Core i5 12450H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 23.8"" Full HD IPS",9699000
"PC Desktip All In One Acer AIO ACX24 Intel Core i3 1215 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 23.8"" Full HD IPS",7599000
"Laptop Axioo Pongo 765 Intel Core I7 13620H GeForce RTX 5060 8 GB RAm 16 GB SSD 512 GB Windows 11 / DOS 16"" WUXGA 165 Hz 100 Srgb",18549000
APPLE IPHONE AIR 256 GB / 512 GB GARANSI RESMI INDONESIA,19899000
"Laptop Axioo Hype-R X8 OLED AMD Ryzen 7 6850 RAM 16 gb SSD 512 GB Windows 11 14"" Full HD IPS Under 1 kg",9999000
All In One PC Desktop ACER AIO Aspire C24 195ES Intel Core Ultra 5 125U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 23.8 Full HD,10599000
"All In One PC Desktip Acer AIO Aspire C22 1800 Intel Core i5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 21.5"" Full HD",8999000
Laptop MSI Katana 15HX Intel Core i7 14650HX GeForce RTX 5070 8GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 15.6 FHD 144HZ 2 Year,23999000
GIGABYTE GAMING MONITOR 25 INCH SS IPS FHD 1080P 1MS 240HZ / 200HZ GS25F2A HDR10 TILT 3Y,1599000
HP DESKJET INK ADVANTAGE 2875 GARANSI RESMI,1089000
ASUS ROG XBOX ALLY AMD RYZEN Z2 A 16GB 512GB W11 7.0FHD 120HZ WHITE,9949000
"Laptop Acer Aspire Lite 14 AL14 Intel Celeron N150 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" Full HD IPS",5019000
LENOVO LEGION GO S 2025 AMD Z1 EXTREME 32GB 1TB W11 8.0WUXGA TOUCH 120HZ 100SRGB 1Y WHITE,12899000
"Laptop ASUS Vivobook 14 A1404VAP Intel Core 5 120U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD VIPS",8399000
"Laptop HP 14 Intel Core Ultra 7 155H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",11599000
"Laptop ASUS Gaming V16 V3607VJ Intel COre 5 210 H GeForce RTX 3050 6GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 144Hz",11799000
"Laptop Lenovo Legion Pro 5 16 OLED AMD Ryzen 7 8745HX GeForce RTX 5060 8 GB RAM 24 GB SSD 1 TB Windows 11 + Office Home Student 165Hz 16"" WQXGA",26299000
Laptop Lenovo Ideapad SLim 3 14 AMD Ryzen 5 7520 RAM 16 GB SSD 512 GB WIndows 11 + Office  Home Student,7649000
"Laptop Avita Pura A+ AMD Ryzen 5 5500 RAm 8 GB SSD 512 GB Windows 11 14"" FUll HD",5299000
"Laptop Avita Pura A+ Intel Core I5 1235 RAm 8 GB SSD 512 GB Windows 11 14"" FUll HD",5749000
"Laptop Avita Pura A+ Intel Core I3 1215 RAm 8 GB SSD 256 GB Windows 11 14"" FUll HD",4399000
LENOVO IDEACENTRE TOWER INTEL CORE I5 14400 RAM 8GB SSD 512GB Windows 11 + MONITOR 21.5,10499000
LENOVO IDEACENTRE TOWER INTEL CORE I5 13400 RAM 8GB SSD 512GB Windows 11+OHS + MONITOR 21.5,10499000
"Laptop HP 14 Intel COre 5 120U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",8899000
ASUS AIRVISION M1 SMART GLASSES GARANSI RESMI,6249000
